Rk,Player,slug,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
1,Stephen Curry,curryst01,GSW,"$40,231,758 ","$43,006,362 ","$45,780,966 ",,,,Bird Rights,"$129,019,086 "
2,Chris Paul,paulch01,OKC,"$38,506,482 ","$41,358,814 ","$44,211,146 ",,,,,"$124,076,442 "
3,Russell Westbrook,westbru01,HOU,"$38,178,000 ","$41,006,000 ","$43,848,000 ","$46,662,000 ",,,Bird Rights,"$123,032,000 "
4,John Wall,walljo01,WAS,"$37,800,000 ","$40,824,000 ","$43,848,000 ","$46,872,000 ",,,Bird Rights,"$122,472,000 "
5,James Harden,hardeja01,HOU,"$37,800,000 ","$40,824,000 ","$43,848,000 ","$46,872,000 ",,,Bird Rights,"$122,472,000 "
6,LeBron James,jamesle01,LAL,"$37,436,858 ","$39,219,565 ","$41,002,273 ",,,,,"$76,656,423 "
7,Kevin Durant,duranke01,BRK,"$37,199,000 ","$39,058,950 ","$40,918,900 ","$42,778,850 ",,,,"$117,176,850 "
8,Kemba Walker,walkeke02,BOS,"$34,379,100 ","$32,742,000 ","$36,016,200 ","$37,653,300 ",,,,"$103,137,300 "
9,Blake Griffin,griffbl01,DET,"$34,234,964 ","$36,595,996 ","$38,957,028 ",,,,Bird Rights,"$70,830,960 "
10,Kyle Lowry,lowryky01,TOR,"$33,296,296 ","$30,000,000 ",,,,,Bird Rights,"$63,296,296 "
11,Paul George,georgpa01,LAC,"$33,005,556 ","$35,450,412 ","$37,895,268 ",,,,Maximum Salary,"$68,455,968 "
12,Klay Thompson,thompkl01,GSW,"$32,742,000 ","$35,361,360 ","$37,980,720 ","$40,600,080 ","$43,219,440 ",,,"$189,903,600 "
13,Jimmy Butler,butleji01,MIA,"$32,742,000 ","$34,379,100 ","$36,016,200 ","$37,653,300 ",,,,"$103,137,300 "
14,Kawhi Leonard,leonaka01,LAC,"$32,742,000 ","$34,379,100 ","$36,016,200 ",,,,,"$67,121,100 "
15,Gordon Hayward,haywago01,BOS,"$32,700,690 ","$34,187,085 ",,,,,Cap space,"$32,700,690 "
16,Mike Conley,conlemi01,UTA,"$32,511,623 ","$34,504,132 ",,,,,Cap Space,"$54,938,006 "
17,Kyrie Irving,irvinky01,BRK,"$31,742,000 ","$33,329,100 ","$34,916,200 ","$36,503,300 ",,,,"$136,490,600 "
18,Tobias Harris,harrito02,PHI,"$31,034,483 ","$33,517,241 ","$36,000,000 ","$38,482,759 ","$40,965,517 ",,,"$180,000,000 "
19,Khris Middleton,middlkh01,MIL,"$30,603,448 ","$33,051,724 ","$35,500,000 ","$37,948,276 ","$40,396,552 ",,,"$137,103,448 "
20,Paul Millsap,millspa01,DEN,"$30,500,000 ",,,,,,Cap space,"$30,500,000 "
21,Damian Lillard,lillada01,POR,"$29,802,321 ","$31,626,953 ","$43,750,000 ","$47,250,000 ","$50,750,000 ","$54,250,000 ",1st Round Pick,"$257,429,274 "
22,Kevin Love,loveke01,CLE,"$28,900,000 ","$31,300,000 ","$31,300,000 ","$28,900,000 ",,,Bird Rights,"$120,400,000 "
23,Nikola Vučević,vucevni01,ORL,"$28,000,000 ","$26,000,000 ","$24,000,000 ","$22,000,000 ",,,,"$100,000,000 "
24,Al Horford,horfoal01,PHI,"$28,000,000 ","$27,500,000 ","$27,000,000 ","$26,500,000 ",,,,"$97,000,000 "
25,DeMar DeRozan,derozde01,SAS,"$27,739,975 ","$27,739,975 ",,,,,Cap Space,"$27,739,975 "
26,CJ McCollum,mccolcj01,POR,"$27,556,959 ","$29,354,152 ","$30,864,198 ","$33,333,333 ","$35,802,469 ",,1st Round Pick,"$156,911,111 "
27,Joel Embiid,embiijo01,PHI,"$27,504,630 ","$29,542,010 ","$31,579,390 ","$33,616,770 ",,,1st Round Pick,"$122,242,800 "
28,Kristaps Porziņģis,porzikr01,DAL,"$27,285,000 ","$29,467,800 ","$31,650,600 ","$33,833,400 ","$36,016,200 ",,,"$122,236,800 "
29,D'Angelo Russell,russeda01,GSW,"$27,285,000 ","$28,649,250 ","$30,013,500 ","$31,377,750 ",,,,"$117,325,500 "
30,Andrew Wiggins,wiggian01,MIN,"$27,270,000 ","$29,290,000 ","$31,310,000 ","$33,330,000 ",,,1st Round Pick,"$121,200,000 "
31,Otto Porter,porteot01,CHI,"$27,250,576 ","$28,489,239 ",,,,,Bird Rights,"$27,250,576 "
32,Devin Booker,bookede01,PHO,"$27,250,000 ","$29,430,000 ","$31,610,000 ","$33,790,000 ","$35,970,000 ",,1st round pick,"$158,050,000 "
33,Karl-Anthony Towns,townska01,MIN,"$27,250,000 ","$29,430,000 ","$31,610,000 ","$33,790,000 ","$35,970,000 ",,1st round pick,"$155,870,000 "
34,Bradley Beal,bealbr01,WAS,"$27,093,019 ","$28,751,775 ","$34,502,130 ","$37,262,300 ",,,Cap Space,"$90,346,924 "
35,Anthony Davis,davisan02,LAL,"$27,093,019 ","$28,751,775 ",,,,,1st Round Pick,"$27,093,019 "
36,Andre Drummond,drumman01,DET,"$27,093,019 ","$28,751,775 ",,,,,Cap Space,"$27,093,019 "
37,Hassan Whiteside,whiteha01,POR,"$27,093,018 ",,,,,,Cap Space,"$27,093,018 "
38,Nikola Jokić,jokicni01,DEN,"$26,573,595 ","$28,542,009 ","$30,510,423 ","$32,478,837 ",,,,"$118,104,864 "
39,Jrue Holiday,holidjr01,NOP,"$26,131,111 ","$26,131,111 ","$27,020,000 ",,,,Bird Rights,"$52,262,222 "
40,LaMarcus Aldridge,aldrila01,SAS,"$26,000,000 ","$24,000,000 ",,,,,Cap Space,"$50,000,000 "
41,Steven Adams,adamsst01,OKC,"$25,842,697 ","$27,528,090 ",,,,,1st Round Pick,"$53,370,787 "
42,Giannis Antetokounmpo,antetgi01,MIL,"$25,842,697 ","$27,528,090 ",,,,,1st Round Pick,"$53,370,787 "
43,Marc Gasol,gasolma01,TOR,"$25,595,700 ",,,,,,Bird Rights,"$25,595,700 "
44,Nicolas Batum,batumni01,CHO,"$25,565,217 ","$27,130,434 ",,,,,Cap Space,"$25,565,217 "
45,Chandler Parsons,parsoch01,ATL,"$25,102,511 ",,,,,,Cap Space,"$25,102,511 "
46,Rudy Gobert,goberru01,UTA,"$25,008,427 ","$26,525,281 ",,,,,1st Round Pick,"$51,533,708 "
47,Serge Ibaka,ibakase01,TOR,"$23,271,604 ",,,,,,Cap space,"$23,271,604 "
48,Danilo Gallinari,gallida01,OKC,"$22,615,559 ",,,,,,Sign and Trade,"$22,615,559 "
49,Victor Oladipo,oladivi01,IND,"$21,000,000 ","$21,000,000 ",,,,,1st Round Pick,"$42,000,000 "
50,Malcolm Brogdon,brogdma01,IND,"$20,000,000 ","$20,700,000 ","$21,700,000 ","$22,600,000 ",,,,"$85,000,000 "
51,Terry Rozier,roziete01,CHO,"$19,894,737 ","$18,900,000 ","$17,905,263 ",,,,,"$56,700,000 "
52,Aaron Gordon,gordoaa01,ORL,"$19,863,636 ","$18,136,364 ","$16,409,091 ",,,,,"$54,409,091 "
53,Zach LaVine,lavinza01,CHI,"$19,500,000 ","$19,500,000 ","$19,500,000 ",,,,,"$58,500,000 "
54,Kent Bazemore,bazemke01,POR,"$19,269,662 ",,,,,,Cap Space,"$19,269,662 "
55,Tyler Johnson,johnsty01,PHO,"$19,245,370 ",,,,,,Cap Space,"$19,245,370 "
56,Goran Dragić,dragigo01,MIA,"$19,217,900 ",,,,,,Bird Rights,"$19,217,900 "
57,Jeff Teague,teaguje01,MIN,"$19,000,000 ",,,,,,Cap space,"$19,000,000 "
58,Harrison Barnes,barneha02,SAC,"$18,973,214 ","$20,491,071 ","$22,008,929 ","$23,526,786 ",,,,"$85,000,000 "
59,Evan Turner,turneev01,ATL,"$18,606,557 ",,,,,,Cap Space,"$18,606,557 "
60,Draymond Green,greendr01,GSW,"$18,539,130 ","$22,246,956 ","$24,026,712 ","$25,806,469 ","$27,586,225 ",,Bird Rights,"$90,619,267 "
61,Tristan Thompson,thomptr01,CLE,"$18,539,130 ",,,,,,Bird Rights,"$18,539,130 "
